x y likelihood a b
0 6 -4767.86272141 16.1754409521 0.0811942643376
0 7 -7060.23761814 16.4980840091 0.122683228785
0 8 -16035.0018298 24.2424190841 0.128115719169
0 9 -17955.2029753 23.0353398328 0.147250550289
0 10 -18710.8244606 11.4025731255 0.166314600158
0 21 -5617.80775769 11.3199078238 0.00386239267626
0 22 -3122.35210654 7.99328134019 0.00195951022127
0 23 -1569.54863967 6.29154055572 -0.00188206320592
0 54 -176.459852505 1.4916740953 0.000167010852875
0 72 -497.651977315 11.750166379 -0.0188295419559
0 74 -1537.62409683 16.6502517202 -0.0177579116136
0 75 -1503.37147871 23.3840987891 -0.0334306907988
0 76 -2802.30953247 25.382820839 -0.041194687437
0 77 -2759.55504059 18.7527972517 -0.0285298530027
0 82 -3798.36089954 33.5237893581 -0.0893591123568
0 83 -2558.2247885 41.2591828613 -0.108310609325
0 94 -7430.50250586 10.5046900413 0.084341934127
1 8 -24754.4079321 36.5267819603 0.14735444249
1 9 -25739.8811823 33.6308657322 0.150632572041
1 10 -20981.8575802 24.4850968405 0.142717524435
1 14 -4827.48740866 9.01054104158 0.147971911176
1 15 -4442.73924203 6.88925553969 0.141493753868
1 16 -4351.99461286 5.1186032389 0.124714111341
1 21 -8810.83348853 11.6754087395 0.00677023892717
1 22 -4854.55680324 8.41451951378 0.00386239267626
1 23 -2146.8222702 7.9619024045 -0.00340932312195
1 28 -195.242229688 1.65292498694 0.000167010852875
1 55 -93.1301841941 1.81417587858 -0.00133630828461
1 62 -148.586150802 2.72760722777 -0.00585173921909
1 82 -5421.13145187 46.1117763648 -0.119893844904
1 83 -2504.08689812 56.841230943 -0.133083872007
1 94 -2882.59934242 26.7146231968 0.0263586287336
1 98 -6425.378473 40.9160788788 0.00569471346745
2 7 -13849.0541429 32.5763088317 0.169680304774
2 8 -22222.9389739 38.1639313332 0.162620202019
2 9 -26206.7068194 39.510347011 0.134256883272
2 14 -8274.02345459 8.71206994551e-06 0.164085221456
2 20 -9102.32591047 14.4072437882 0.0222787522654
2 28 -198.220977798 1.53905833228 0.00185667776978
2 82 -3909.24828601 57.6745082391 -0.140155413865
2 83 -3736.71898585 68.5129675369 -0.137524067431
3 8 -12523.6112423 37.6169362766 0.128507507926
3 9 -14243.932995 38.8519293589 0.100248697575
3 15 -17201.2829755 4.44166775683e-06 0.171908356904
3 16 -10823.4540546 4.41659201956e-06 0.155831831596
3 26 -265.995659505 1.54182674802 0.00643806867966
3 28 -205.235380459 1.09326120891 0.00292615582257
3 63 -223.756738813 1.33042320366 0.00167032999036
3 82 -4688.80721893 58.2752731956 -0.132981799344
3 91 -3726.87665102 1.24164133784e-05 0.0591114714437
