x y likelihood a b
0 6 -4760.20511612 16.2214471563 0.082100257069
0 7 -7034.69112702 16.7937353748 0.123474010949
0 8 -15969.2606733 24.5724959852 0.129901534851
0 9 -17918.0506563 23.2161088647 0.148891258009
0 10 -18679.5751603 11.804321165 0.16710816845
0 21 -5614.69944361 11.4329261816 0.00412241999962
0 22 -3120.23194956 8.09409299648 0.00208612239626
0 23 -1560.66587663 6.36983727592 -0.00092332897287
0 54 -172.574789404 1.49109200549 0.000834896710262
0 72 -495.113583206 11.9544972724 -0.0189812077299
0 74 -1530.51318909 16.7541811585 -0.0171274912014
0 75 -1483.19604364 23.5927248073 -0.0324977675044
0 76 -2792.52482641 25.7052982468 -0.0411904566075
0 77 -2757.95814943 18.8075122662 -0.0282734835288
0 82 -3791.8290805 33.6701422517 -0.088969104345
0 83 -2518.50251797 41.7894622491 -0.107875372996
0 94 -7425.5472663 10.6923102226 0.0844753167519
1 8 -24687.1295065 36.6126459218 0.150181799512
1 9 -25675.5508052 33.9677531832 0.152399059901
1 10 -20922.3523863 24.6818738924 0.144920280287
1 14 -4820.47006143 9.18821109608 0.148256966159
1 15 -4402.05637861 7.18749688901 0.142892155533
1 16 -4317.61803242 5.42759651754 0.125911401745
1 21 -8799.90521981 11.8191678701 0.00756568649589
1 22 -4852.99448175 8.43496900143 0.0042359800309
1 23 -2146.73887631 7.98850403779 -0.00319827720663
1 28 -185.592380464 1.78515671392 0.000797332689958
1 55 -92.5033155648 1.80598620956 -0.000990150257055
1 62 -144.674327309 2.73748089365 -0.00492211043522
1 82 -5366.32803081 46.6433564414 -0.119246868239
1 83 -2456.53049764 56.8308666423 -0.130615917444
1 94 -2876.33152925 26.7116877922 0.0273479223143
1 98 -6367.32108631 41.3910266186 0.00671975627303
2 7 -13831.0770312 32.8064237936 0.170466571164
2 8 -22197.6468408 38.4573311881 0.163449696844
2 9 -26205.8402565 39.5610633118 0.134631473332
2 14 -8222.70163627 -1.91097022535 0.172388826414
2 20 -9088.0985259 14.594121101 0.0229910448966
2 28 -196.728691815 1.74837751779 0.00174462113318
2 82 -3881.520821 57.9439231998 -0.139038714846
2 83 -3620.27322949 68.97314236 -0.135045528974
3 8 -12511.1110667 37.9192277027 0.128595363755
3 9 -14237.5329728 38.972390156 0.100761811252
3 15 -16791.4593275 -5.96020360391 0.194697141148
3 16 -10698.8386918 -3.27019109591 0.168384536301
3 26 -260.533151194 1.53306439614 0.00735680172274
3 28 -184.696085165 1.26350474411 0.00419421422582
3 63 -221.770111356 1.53789622682 0.00139819510987
3 82 -4633.91859354 58.8407874363 -0.132196278102
3 91 -3719.54213797 -0.469499403328 0.0616711100596
83 33 -7796.66623451 71.4573198158 -0.0736817535264
83 34 -14562.815243 70.2083223414 -0.039178154325
83 35 -18200.9218183 74.101721546 -0.0275965429625
83 36 -14419.0478888 79.2969865382 -0.0355330755636
83 37 -10525.8315402 78.8562877017 -0.0503329788407
83 38 -8311.91258119 69.6535444298 -0.0727915088096
83 39 -5559.55420114 53.3266200682 -0.079508218354
83 40 -6435.99989507 40.5491705176 -0.0671288862248
83 41 -5068.35333199 35.1785566744 -0.0524305085222
83 42 -3690.85931684 33.1026521709 -0.0428468982209
83 43 -3933.87948221 27.345801588 -0.0247428361402
83 44 -4460.41804037 19.1534572933 -0.0049294846526
83 45 -4527.12485606 14.2234038096 0.00349628092184
83 46 -3906.80650253 11.8410071518 0.00735672790352
83 47 -2825.67785643 10.5319972845 0.0100780449061
83 48 -2639.17021106 9.11520164717 0.0147537848557
83 49 -2691.67785302 8.66647296032 0.0168018399758
83 50 -2554.00908475 8.83963445221 0.0181465220173
83 51 -1819.86868626 10.0195621675 0.0173409452683
83 52 -1008.24453554 11.5707546735 0.0171872798271
83 53 -1172.13496525 13.4297054379 0.0212564168113
83 54 -2932.79510192 14.8414264084 0.0318647175127
83 55 -5090.60608323 15.9984986574 0.0416617665838
83 56 -4115.3300394 17.194581664 0.0431492305922
83 57 -2120.86012398 20.3982657326 0.0333739929912
83 58 -1819.1936752 23.0571936475 0.0273114442355
83 59 -2321.02167729 22.1071617934 0.0339199470511
83 60 -2944.0492566 21.9601943718 0.037290426927
83 61 -2220.44826932 25.4067919138 0.0317698019366
83 62 -1417.72428366 30.5190347775 0.02992813124
83 63 -1874.07939138 35.7321350383 0.0347667274841
83 64 -2743.63029341 40.8167947111 0.0402267121286
83 65 -2430.46739771 43.6953827004 0.0496921096613
83 66 -1280.03107537 42.5071793488 0.0561292190902
83 67 -2572.54265743 42.3388653031 0.0402206069028
83 68 -4025.58656472 46.4277618112 0.018232957561
83 69 -2305.77479897 56.5882680876 -0.00775305788384
83 70 -1881.98300711 68.688082245 -0.0325606760397
83 71 -1742.17309227 74.1947236611 -0.0352473234098
83 72 -2369.99100847 73.8626244667 -0.0263037289578
83 73 -2694.07516322 71.734080944 -0.020901937637
83 74 -2604.28335091 68.3967896463 -0.02909417413
83 75 -3174.81319097 59.8962760106 -0.0326057136678
83 76 -2262.0731151 44.7993565036 0.0051949115547
83 77 -2456.46680195 30.0059790219 0.0703465803144
83 78 -6767.39034784 26.9581298155 0.102456169478
83 79 -9077.63408357 38.6290112635 0.0745542297463
83 80 -2767.46096247 55.945142875 0.0102206590356
83 81 -1290.07007127 65.4659936045 -0.0372035588608
83 83 -4022.51274082 62.5344876307 -0.064442546663
