x y likelihood f g h n t0
0 6 -3085.17743963 -0.82988660994 0.135211257805 16.0369086536 -0.0326374166982 118.977491016
0 7 -6525.43336471 7.31566303429 0.0548605814166 19.6093277733 0.00862419044582 168.156585522
0 8 -6666.70079441 7.61506522065 -0.0283224736387 34.6660704407 0.0299602079565 156.347208181
0 9 -2309.48214075 2.6966778276 -0.0908100341089 51.6483593063 0.025267718658 170.000755545
0 10 -5969.74825018 1.83464147645 -0.0888892431936 51.9634465613 0.023114984373 192.297198605
0 21 -3300.44027663 13.7303446159 -0.0605620420056 9.24984250104 0.225457859576 202.781750201
0 22 -2688.78161146 15.7353156367 -0.0224381155226 -7.73996308925 -0.0326371630137 91.990895796
0 23 -1285.46788068 4.8010083526 -0.0205618290556 3.68810079161 0.379791566532 185.791535373
0 54 -169.655767258 2.56783949859 -0.00277070492201 -0.879729174674 -0.0570545985621 143.248097662
0 72 -419.007951544 9.56444956969 -0.0272250659047 2.4078123389 0.477685973406 79.3145606191
0 74 -1363.78157412 12.3377384955 -0.029542213444 3.94102416705 0.169085692209 72.0373151392
0 75 -1102.90928881 4.21690965265 -0.0566747833517 14.0548299388 0.0225876657773 34.1571219194
0 76 -2416.54158352 17.1107056593 -0.0566793975294 6.33483254955 0.639403925433 50.1622076074
0 77 -2710.71415415 1.5154882217 -0.00134078027228 16.1238397378 -0.00373415325644 82.5998701636
0 82 -1133.51194472 15.2696242758 -0.0294068381862 19.6385829552 -0.0435669469671 88.7446041795
0 83 -794.723527957 10.7062469545 -0.0201993011746 24.2565457909 -0.0163768528806 118.953760073
0 94 -5431.47704539 -0.283316995287 -0.0451324184903 35.8881475019 0.0112272996768 214.000404218
1 8 -4041.52153899 11.2009720055 -0.0273228301461 39.298007608 0.0944377418835 151.489503792
1 9 -3155.55206527 9.59015038746 -0.0237374742328 38.1478538681 0.142751649705 153.570763492
1 10 -9512.73813872 7.65525051558 0.00168769161324 30.1813980591 0.0745463643666 156.601641302
